week_label,week_start,week_end,bars,best_drop,best_rise,best_interval,best_roi,plateau_drop,plateau_rise,plateau_interval,plateau_roi
2025-W34,2025-08-18 08:00:00+00:00,2025-08-22 23:59:00+00:00,4460,0.01,0.08,20,2.2211375967171336,0.01,0.09,20,2.2211375967171336
2025-W35,2025-08-25 08:00:00+00:00,2025-08-29 23:59:00+00:00,4510,0.01,0.04,20,0.21447635271983745,0.06,0.01,20,-0.18588432045298395
2025-W36,2025-09-02 08:00:00+00:00,2025-09-05 23:59:00+00:00,3656,0.01,0.03,20,1.7941544627815165,0.01,0.02,20,1.055882422456736
2025-W37,2025-09-08 08:00:00+00:00,2025-09-12 23:59:00+00:00,4532,0.01,0.08,20,3.343552289912783,0.01,0.1,20,3.343552289912783
2025-W38,2025-09-15 08:00:00+00:00,2025-09-19 23:59:00+00:00,4762,0.01,0.06,20,2.4399352882532983,0.01,0.03,20,2.1200567955580483
2025-W39,2025-09-22 08:00:00+00:00,2025-09-26 23:59:00+00:00,4695,0.01,0.03,20,1.7508305491163338,0.01,0.03,20,1.7508305491163338
2025-W40,2025-09-29 08:00:00+00:00,2025-10-03 23:59:00+00:00,4683,0.02,0.08,20,0.7640500114968599,0.01,0.08,20,0.5651307434863994
2025-W41,2025-10-06 08:00:00+00:00,2025-10-10 23:59:00+00:00,4668,0.1,0.01,20,-0.3492166964483768,0.1,0.01,20,-0.3492166964483768
2025-W42,2025-10-13 08:00:00+00:00,2025-10-17 23:59:00+00:00,4700,0.01,0.03,20,1.99744044298018,0.01,0.02,20,1.7909536787553808
2025-W43,2025-10-20 08:00:00+00:00,2025-10-24 23:59:00+00:00,4624,0.03,0.04,20,0.5659048593524348,0.02,0.05,20,0.33515582203585653
2025-W44,2025-10-27 08:00:00+00:00,2025-10-31 23:59:00+00:00,4579,0.01,0.03,20,1.2799583725683332,0.01,0.02,20,1.1001383667111075
2025-W45,2025-11-03 09:00:00+00:00,2025-11-08 00:59:00+00:00,4788,0.06,0.02,20,-0.17556988327531145,0.1,0.02,20,-0.4001419930202537
2025-W46,2025-11-10 09:00:00+00:00,2025-11-15 00:59:00+00:00,4750,0.06,0.06,20,-0.2749451447807806,0.1,0.03,20,-0.4281432283835747
2025-W47,2025-11-17 09:00:00+00:00,2025-11-22 00:59:00+00:00,4774,0.01,0.05,20,1.2544287475002203,0.01,0.04,20,0.30635121759807227
2025-W48,2025-11-24 09:00:00+00:00,2025-11-28 21:59:00+00:00,3622,0.01,0.05,20,1.7243712604683243,0.01,0.04,20,1.1920895368933562
2025-W49,2025-12-01 09:00:00+00:00,2025-12-06 00:59:00+00:00,4725,0.01,0.01,20,0.9540394277789747,0.01,0.01,20,0.9540394277789747
2025-W50,2025-12-08 09:00:00+00:00,2025-12-13 00:59:00+00:00,4681,0.01,0.03,20,1.778578033540223,0.01,0.02,20,1.691833199860499
2025-W51,2025-12-15 09:00:00+00:00,2025-12-20 00:59:00+00:00,4791,0.01,0.03,20,1.3744314145813115,0.01,0.03,20,1.3744314145813115
2025-W52,2025-12-22 09:00:00+00:00,2025-12-27 00:59:00+00:00,3499,0.03,0.01,20,-0.0739578239981347,0.06,0.01,20,-0.10103493324728334
2026-W01,2025-12-29 09:00:00+00:00,2026-01-03 00:59:00+00:00,3766,0.07,0.01,20,-0.5382014707043563,0.08,0.01,20,-0.6291791377443878
2026-W02,2026-01-05 09:00:00+00:00,2026-01-10 00:59:00+00:00,4758,0.01,0.04,20,0.8644715388957702,0.01,0.05,20,0.8200700844859238
2026-W03,2026-01-12 09:00:00+00:00,2026-01-17 00:59:00+00:00,4679,0.04,0.02,20,0.11723199641778773,0.03,0.01,20,0.1027842780205392
2026-W04,2026-01-20 09:00:00+00:00,2026-01-24 00:59:00+00:00,3805,0.01,0.05,20,1.133531045493277,0.01,0.06,20,1.1202102851479867
2026-W05,2026-01-26 09:00:00+00:00,2026-01-31 00:59:00+00:00,4713,0.01,0.01,20,1.1454990201066249,0.01,0.01,20,1.1454990201066249
2026-W06,2026-02-02 09:00:00+00:00,2026-02-07 00:59:00+00:00,4733,0.01,0.06,20,1.2978887440448452,0.01,0.07,20,1.2978552673626547
2026-W07,2026-02-09 09:00:00+00:00,2026-02-14 00:59:00+00:00,4602,0.01,0.05,20,0.7111488867660227,0.01,0.05,20,0.7111488867660227
2026-W08,2026-02-17 09:00:00+00:00,2026-02-21 00:59:00+00:00,3641,0.01,0.01,20,0.530320099806806,0.01,0.01,20,0.530320099806806
2026-W09,2026-02-23 09:00:00+00:00,2026-02-28 00:59:00+00:00,4635,0.01,0.03,20,0.9793249575498049,0.01,0.03,20,0.9793249575498049
2026-W10,2026-03-02 09:00:00+00:00,2026-03-07 00:59:00+00:00,4688,0.01,0.03,20,0.7240885043206217,0.01,0.02,20,0.4573050427123526
2026-W11,2026-03-09 08:00:00+00:00,2026-03-13 23:59:00+00:00,4690,0.01,0.06,20,0.62803963434881,0.01,0.07,20,0.09656778354408743
2026-W12,2026-03-16 08:00:00+00:00,2026-03-20 23:59:00+00:00,4645,0.07,0.03,20,-0.44712255847068444,0.08,0.03,20,-0.5934068441064592
2026-W13,2026-03-23 08:00:00+00:00,2026-03-27 23:59:00+00:00,4729,0.08,0.09,20,0.1590303296982165,0.09,0.02,20,0.007379978108336217
2026-W14,2026-03-30 08:00:00+00:00,2026-04-02 23:59:00+00:00,3807,0.01,0.06,20,1.1886438554263297,0.01,0.07,20,0.7436048521522899
2026-W15,2026-04-06 08:00:00+00:00,2026-04-10 23:59:00+00:00,4778,0.01,0.03,20,1.420098298465804,0.01,0.03,20,1.420098298465804
2026-W16,2026-04-13 08:00:00+00:00,2026-04-17 23:59:00+00:00,4772,0.01,0.04,20,2.5432922418115487,0.01,0.03,20,1.838244380682372
2026-W17,2026-04-20 08:00:00+00:00,2026-04-24 23:59:00+00:00,4771,0.01,0.01,20,0.2003488912344328,0.01,0.01,20,0.2003488912344328
2026-W18,2026-04-27 08:00:00+00:00,2026-05-01 23:59:00+00:00,4688,0.01,0.07,20,1.1638027846103798,0.01,0.07,20,1.1638027846103798
2026-W19,2026-05-04 08:00:00+00:00,2026-05-08 23:59:00+00:00,4746,0.01,0.05,20,2.1043913170810704,0.01,0.1,20,1.9176455330165627
2026-W20,2026-05-11 08:00:00+00:00,2026-05-15 23:59:00+00:00,4775,0.01,0.07,20,0.4837615129233891,0.05,0.04,20,0.18301551646305597
2026-W21,2026-05-18 08:00:00+00:00,2026-05-22 23:59:00+00:00,4745,0.01,0.08,20,2.269621521252091,0.01,0.07,20,2.2379336358576256
2026-W22,2026-05-26 08:00:00+00:00,2026-05-29 23:59:00+00:00,3800,0.01,0.01,20,0.4835893315692665,0.01,0.01,20,0.4835893315692665
2026-W23,2026-06-01 08:00:00+00:00,2026-06-05 23:59:00+00:00,4755,0.1,0.01,20,-0.9288033395176171,0.1,0.02,20,-0.9288033395176171
2026-W24,2026-06-08 08:00:00+00:00,2026-06-12 23:59:00+00:00,4738,0.01,0.05,20,2.100271886328424,0.01,0.04,20,1.8767742657072668
2026-W25,2026-06-15 08:00:00+00:00,2026-06-18 23:59:00+00:00,3740,0.01,0.01,20,0.07592840809558402,0.04,0.04,20,-0.19052923343986913
2026-W26,2026-06-22 08:00:00+00:00,2026-06-26 23:59:00+00:00,4630,0.09,0.04,20,0.20211104009885458,0.1,0.03,20,0.020999206716631306
2026-W27,2026-06-29 08:00:00+00:00,2026-06-30 23:59:00+00:00,1880,0.01,0.07,20,1.173549117902512,0.01,0.07,20,1.173549117902512
