week_label,week_start,week_end,bars,best_drop,best_rise,best_interval,best_roi,plateau_drop,plateau_rise,plateau_interval,plateau_roi
2026-W24,2026-06-12 15:46:00+00:00,2026-06-12 23:59:00+00:00,494,0.01,0.08,10,2.1640658893341604,0.02,0.08,10,1.997901797778264
2026-W25,2026-06-15 08:00:00+00:00,2026-06-18 23:59:00+00:00,3840,0.01,0.05,10,2.977627926344343,0.01,0.05,10,2.977627926344343
2026-W26,2026-06-22 08:00:00+00:00,2026-06-26 23:59:00+00:00,4745,0.08,0.04,10,-0.34514045229194745,0.08,0.01,10,-1.1413224329209044
2026-W27,2026-06-29 08:00:00+00:00,2026-07-02 23:59:00+00:00,3778,0.01,0.01,10,1.7018436163836157,0.01,0.02,10,0.4623603002879827
