week_label,week_start,week_end,bars,best_drop,best_rise,best_interval,best_roi,plateau_drop,plateau_rise,plateau_interval,plateau_roi
2026-W24,2026-06-12 15:46:00+00:00,2026-06-12 23:59:00+00:00,494,0.01,0.08,10,2.1640658893341604,0.03,0.08,5,1.9031192209232832
2026-W25,2026-06-15 08:00:00+00:00,2026-06-18 23:59:00+00:00,3840,0.01,0.05,5,3.659585963637277,0.01,0.05,10,2.977627926344343
2026-W26,2026-06-22 08:00:00+00:00,2026-06-26 23:59:00+00:00,4745,0.08,0.04,10,-0.34514045229194745,0.08,0.01,5,-0.8598287739398074
2026-W27,2026-06-29 08:00:00+00:00,2026-07-02 23:59:00+00:00,3778,0.01,0.1,60,1.8350844276444112,0.01,0.1,60,1.8350844276444112
