week_label,week_start,week_end,bars,best_drop,best_rise,best_interval,best_roi,plateau_drop,plateau_rise,plateau_interval,plateau_roi
2026-W01,2026-01-01 00:00:00+00:00,2026-01-03 00:59:00+00:00,1020,0.03,0.03,20,-0.09079035258918884,0.02,0.04,20,-0.18260523309669224
2026-W02,2026-01-05 09:00:00+00:00,2026-01-10 00:59:00+00:00,4758,0.01,0.04,20,0.8644715388957702,0.01,0.05,20,0.8200700844859238
2026-W03,2026-01-12 09:00:00+00:00,2026-01-17 00:59:00+00:00,4679,0.04,0.02,20,0.11723199641778773,0.03,0.01,20,0.1027842780205392
2026-W04,2026-01-20 09:00:00+00:00,2026-01-24 00:59:00+00:00,3805,0.01,0.05,20,1.133531045493277,0.01,0.06,20,1.1202102851479867
2026-W05,2026-01-26 09:00:00+00:00,2026-01-31 00:00:00+00:00,4654,0.01,0.01,20,1.1869280706783174,0.01,0.01,20,1.1869280706783174
